country,category,image_url,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Luxembourg,País,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,7,8,9,11,12,14,14,14,14,15,16,17,17,19,21,23,24,26,26,26,26,35,39,47,58,74,87,95,109
Corea del Sur,País,https://public.flourish.studio/country-flags/svg/kr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,7,7,7,7,8,9,9,11,11,11,11,13,13,14,20,20,21,21,26,37,37,39,43,51,63,68,90
España,País,https://public.flourish.studio/country-flags/svg/es.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,9,11,12,12,13,15,16,16,17,18,23,25,28,29,48,61,69,86
Australia,País,https://public.flourish.studio/country-flags/svg/au.svg,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,7,7,8,8,8,8,9,9,9,9,10,11,11,11,12,13,13,14,14,14,14,14,15,16,17,18,24,25,28,36,36,47,56,68
Israel,País,https://public.flourish.studio/country-flags/svg/il.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,4,5,5,6,6,7,8,8,8,9,10,12,12,13,14,14,15,17,17,18,21,21,24,26,30,41,46,46,55
Uruguay,País,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,6,19,23,32,45,49,53
Turkey,País,https://public.flourish.studio/country-flags/svg/tr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,4,4,4,4,4,5,6,6,7,8,9,10,11,12,12,13,13,13,16,18,27,32,52
Brasil,País,https://public.flourish.studio/country-flags/svg/br.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,4,5,6,6,6,8,12,13,13,13,13,15,15,15,16,17,18,18,19,20,21,23,26,27,31,34,36,36,39,44,46,48,48
Finland,País,https://public.flourish.studio/country-flags/svg/fi.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,9,17,21,27,31,48
Bélgica,País,https://public.flourish.studio/country-flags/svg/be.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,32,32,32,35,36,36,39,43,44
